,count,tract,date
665,767,48201541001,2021-01-16
666,917,48201541002,2021-01-16
667,1422,48201541003,2021-01-16
668,627,48201541100,2021-01-16
669,654,48201541201,2021-01-16
670,657,48201541202,2021-01-16
671,171,48201541203,2021-01-16
672,768,48201541300,2021-01-16
673,870,48201541400,2021-01-16
674,388,48201541500,2021-01-16
675,420,48201541601,2021-01-16
676,1052,48201541602,2021-01-16
677,721,48201541700,2021-01-16
678,441,48201541800,2021-01-16
679,446,48201541900,2021-01-16
680,935,48201542000,2021-01-16
681,1857,48201542101,2021-01-16
682,1070,48201542102,2021-01-16
683,1822,48201542200,2021-01-16
684,982,48201542301,2021-01-16
685,473,48201542302,2021-01-16
686,549,48201542400,2021-01-16
687,158,48201542500,2021-01-16
688,420,48201542600,2021-01-16
689,254,48201542700,2021-01-16
690,537,48201542800,2021-01-16
691,2275,48201542900,2021-01-16
692,2034,48201543001,2021-01-16
693,2783,48201543002,2021-01-16
694,1512,48201543003,2021-01-16
695,185,48201543100,2021-01-16
696,561,48201543200,2021-01-16
697,220,48201550100,2021-01-16
698,195,48201550200,2021-01-16
699,312,48201550301,2021-01-16
700,765,48201550302,2021-01-16
701,692,48201550401,2021-01-16
702,492,48201550402,2021-01-16
703,308,48201550500,2021-01-16
704,352,48201550601,2021-01-16
705,162,48201550602,2021-01-16
706,282,48201550603,2021-01-16
707,215,48201550700,2021-01-16
708,205,48201550800,2021-01-16
709,540,48201550900,2021-01-16
710,188,48201551000,2021-01-16
711,575,48201551100,2021-01-16
712,404,48201551200,2021-01-16
713,175,48201551300,2021-01-16
714,348,48201551400,2021-01-16
715,474,48201551500,2021-01-16
716,485,48201551600,2021-01-16
717,611,48201551701,2021-01-16
718,269,48201551702,2021-01-16
719,443,48201551703,2021-01-16
720,322,48201551800,2021-01-16
721,345,48201551900,2021-01-16
722,441,48201552001,2021-01-16
723,110,48201552002,2021-01-16
724,392,48201552101,2021-01-16
725,458,48201552102,2021-01-16
726,234,48201552103,2021-01-16
727,614,48201552200,2021-01-16
728,469,48201552301,2021-01-16
729,272,48201552302,2021-01-16
730,490,48201552400,2021-01-16
731,689,48201552500,2021-01-16
732,480,48201552601,2021-01-16
733,445,48201552602,2021-01-16
734,621,48201552700,2021-01-16
735,516,48201552800,2021-01-16
736,696,48201552900,2021-01-16
